flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,3673,4095,3651,3986,1.72,-0.64,-0.09,0.11,-0.02,te amo
4095,3679,4095,3647,3978,9.35,-4.09,-0.17,0.06,0.22,te amo
4095,3581,4095,3613,3965,9.39,-3.94,0.13,-0.02,-0.22,te amo
4095,3522,4095,3606,3967,9.16,-3.92,-0.22,0.03,0.05,te amo
4095,3522,4095,3600,3959,9.38,-3.97,-0.14,-0.07,-0.05,te amo
4095,3550,4095,3607,3956,9.52,-3.95,-0.01,-0.11,-0.00,te amo
4095,3534,4095,3603,3952,9.28,-3.97,-0.16,0.01,0.05,te amo
4095,3569,4095,3613,3951,9.56,-4.09,0.02,-0.03,-0.11,te amo
4095,3580,4095,3612,3946,9.33,-3.81,-0.24,0.05,0.02,te amo
4095,3671,4095,3664,3962,9.43,-4.20,0.06,-0.02,-0.22,te amo
4095,3703,4095,3664,3965,9.63,-4.21,-0.23,-0.00,0.02,te amo
4095,3691,4095,3667,3955,9.31,-4.28,-0.33,-0.03,0.11,te amo
4095,3695,4095,3680,3952,9.42,-4.06,-0.03,0.01,-0.04,te amo
4095,3691,4095,3711,3943,9.14,-4.19,-0.11,0.10,-0.01,te amo
4095,3698,4095,3699,3941,9.40,-4.59,-0.31,0.01,-0.09,te amo

4095,3957,4095,4095,4059,1.64,-0.89,-0.05,-0.02,0.15,te amo
4095,4011,4095,4095,4069,9.06,-4.84,0.03,0.08,0.16,te amo
4095,4001,4095,4095,4051,8.92,-5.04,0.26,0.03,-0.02,te amo
4095,3983,4095,4095,4047,9.06,-5.20,0.04,-0.08,-0.12,te amo
4095,3979,4095,4095,4050,9.03,-4.87,0.04,-0.06,0.09,te amo
4095,4001,4095,4095,4050,8.77,-4.83,-0.02,-0.07,-0.07,te amo
4095,4003,4095,4095,4048,9.26,-4.97,-0.26,-0.07,-0.09,te amo
4095,3997,4095,4095,4049,9.02,-4.97,-0.11,-0.09,0.08,te amo
4095,4016,4095,4095,4051,8.96,-4.89,-0.17,-0.13,-0.07,te amo
4095,4037,4095,4095,4057,9.22,-4.49,-0.40,-0.07,-0.00,te amo
4095,4062,4095,4095,4065,8.94,-4.62,-0.53,0.03,0.10,te amo
4095,4075,4095,4095,4050,9.28,-4.74,-0.30,0.02,-0.05,te amo
4095,4075,4095,4095,4049,8.75,-4.89,-0.04,0.08,-0.09,te amo
4095,4075,4095,4095,4048,9.31,-4.96,-0.28,0.03,-0.09,te amo
4095,4069,4095,4095,4053,8.97,-4.67,-0.47,-0.14,-0.10,te amo

4095,3745,4095,4095,3675,1.76,-0.30,0.52,0.05,0.01,te amo
4095,3749,4095,4095,3682,9.65,-1.93,2.48,0.05,-0.06,te amo
4095,3750,4095,4095,3623,9.79,-2.06,2.36,0.05,-0.05,te amo
4095,3742,4095,4095,3611,9.85,-2.04,2.23,0.01,-0.10,te amo
4095,3742,4095,4095,3630,9.92,-1.90,2.21,0.01,-0.03,te amo
4095,3752,4095,4095,3647,10.09,-1.61,2.19,0.03,-0.02,te amo
4095,3745,4095,4095,3651,9.95,-1.75,2.33,0.09,-0.02,te amo
4095,3745,4095,4095,3687,10.10,-1.79,2.22,-0.00,-0.01,te amo
4095,3771,4095,4095,3679,9.65,-1.99,2.12,0.04,-0.01,te amo
4095,3777,4095,4095,3664,9.91,-1.81,2.15,0.04,0.04,te amo
4095,3741,4095,4095,3678,9.88,-1.78,2.15,0.05,-0.03,te amo
4095,3739,4095,4095,3690,9.61,-1.67,2.02,0.02,0.00,te amo
4095,3751,4095,4095,3702,10.09,-1.83,2.09,-0.01,0.03,te amo
4095,3759,4095,4095,3706,9.66,-1.95,2.13,0.05,0.06,te amo
4095,3744,4095,4095,3687,10.10,-1.59,2.15,0.04,0.07,te amo

4095,3729,4095,4069,3639,1.74,-0.51,-0.06,0.06,0.04,te amo
4095,3808,4095,4092,3632,9.91,-2.63,-0.17,0.03,0.04,te amo
4095,3791,4095,4095,3628,9.91,-2.84,-0.22,0.07,0.03,te amo
4095,3787,4095,4095,3629,10.08,-2.85,-0.24,0.03,0.02,te amo
4095,3769,4095,4095,3632,9.87,-2.91,-0.05,0.08,0.02,te amo
4095,3763,4095,4095,3643,9.97,-2.69,0.00,0.09,0.02,te amo
4095,3777,4095,4095,3636,9.85,-2.98,-0.11,0.01,0.01,te amo
4095,3779,4095,4095,3645,9.99,-2.92,-0.06,0.01,0.03,te amo
4095,3792,4095,4095,3643,10.06,-2.80,-0.05,-0.01,0.00,te amo
4095,3806,4095,4095,3647,9.78,-2.89,0.00,-0.02,-0.02,te amo
4095,3787,4095,4095,3648,10.10,-2.87,-0.09,-0.04,-0.01,te amo
4095,3776,4095,4095,3646,9.76,-2.85,-0.01,-0.01,-0.02,te amo
4095,3775,4095,4095,3653,9.96,-2.72,-0.12,-0.02,-0.01,te amo
4095,3776,4095,4095,3647,9.72,-2.78,-0.14,0.05,-0.04,te amo
4095,3781,4095,4095,3658,9.89,-2.92,-0.21,-0.05,-0.01,te amo

4095,3617,4095,3648,3641,1.84,-0.43,0.03,-0.07,-0.11,te amo
4095,3649,4095,3611,3637,10.13,-2.56,-0.10,-0.04,-0.09,te amo
4095,3626,4095,3903,3632,10.29,-2.43,-0.08,0.08,-0.04,te amo
4095,3678,4095,3927,3632,9.97,-2.63,-0.02,0.03,-0.02,te amo
4095,3692,4095,3926,3653,10.05,-2.50,0.00,0.02,-0.05,te amo
4095,3695,4095,3916,3655,9.96,-2.38,-0.03,-0.08,-0.07,te amo
4095,3699,4095,3917,3664,9.80,-2.39,-0.09,0.01,-0.06,te amo
4095,3712,4095,3933,3667,10.22,-2.24,-0.29,0.01,-0.01,te amo
4095,3728,4095,3968,3685,9.69,-2.38,-0.20,0.10,0.03,te amo
4095,3687,4095,3949,3721,9.90,-2.50,-0.09,0.03,0.02,te amo
4095,3686,4095,3953,3728,10.16,-2.65,0.05,0.06,0.03,te amo
4095,3731,4095,3978,3728,9.87,-2.58,0.03,0.02,0.03,te amo
4095,3729,4095,3987,3717,9.88,-2.55,-0.04,-0.02,0.02,te amo
4095,3760,4095,3984,3712,10.26,-2.66,0.08,0.02,0.05,te amo
4095,3747,4095,3971,3707,9.90,-2.55,0.07,0.01,-0.05,te amo

4054,3505,4095,3889,3533,1.77,-0.43,0.26,-0.00,0.01,te amo
4055,3491,4095,3898,3522,9.83,-2.39,1.21,0.01,-0.04,te amo
4053,3493,4095,3905,3520,9.78,-2.27,1.02,0.05,-0.01,te amo
4058,3476,4095,3882,3552,9.74,-2.27,1.01,0.09,0.02,te amo
4068,3481,4095,3898,3547,9.90,-2.62,1.11,0.09,-0.04,te amo
4067,3489,4095,3918,3601,9.76,-2.54,1.25,0.12,-0.02,te amo
4087,3503,4095,3920,3574,9.96,-2.84,0.99,-0.08,0.06,te amo
4085,3508,4095,3922,3566,9.81,-2.80,1.09,0.02,0.06,te amo
4095,3521,4095,3931,3570,10.00,-2.53,0.94,0.03,0.05,te amo
4084,3526,4095,3925,3583,9.72,-2.70,0.98,0.05,0.07,te amo
4095,3518,4095,3914,3600,10.09,-2.57,0.97,0.06,0.04,te amo
4094,3511,4095,3909,3583,9.69,-2.96,1.17,0.04,0.07,te amo
4095,3519,4095,3916,3597,10.35,-2.65,1.22,-0.00,0.04,te amo
4095,3521,4095,3913,3599,9.78,-2.83,1.19,-0.05,-0.02,te amo
4095,3520,4095,3925,3583,10.38,-2.57,1.00,-0.03,0.02,te amo

4095,3488,4095,3655,4086,1.76,-0.39,0.10,-0.02,-0.04,te amo
4095,3501,4095,3651,4093,10.22,-2.43,0.45,0.09,-0.05,te amo
4095,3504,4095,3651,4094,10.01,-2.57,0.33,0.06,-0.03,te amo
4095,3522,4095,3648,4090,9.78,-2.61,0.32,-0.03,-0.01,te amo
4095,3528,4095,3634,4095,9.93,-2.29,0.33,-0.01,-0.02,te amo
4095,3530,4095,3633,4091,9.71,-2.34,0.19,-0.03,-0.03,te amo
4095,3536,4095,3637,4080,10.04,-2.30,0.23,0.00,0.02,te amo
4095,3531,4095,3650,4065,10.04,-1.98,0.02,0.13,0.05,te amo
4095,3523,4095,3637,4042,9.84,-2.33,0.27,0.10,0.07,te amo
4095,3524,4095,3639,4012,10.01,-2.30,0.44,0.07,0.05,te amo
4095,3553,4095,3638,4010,9.97,-2.58,0.41,0.12,0.01,te amo
4095,3535,4095,3643,4016,9.98,-2.69,0.46,0.03,-0.03,te amo
4095,3546,4095,3638,4015,9.97,-2.57,0.30,-0.03,0.04,te amo
4095,3554,4095,3649,4042,9.85,-2.25,0.33,0.07,-0.05,te amo
4095,3568,4095,3647,4026,9.98,-2.46,0.38,0.04,-0.02,te amo

4068,3630,4095,4007,3625,1.81,-0.46,0.08,0.19,0.07,te amo
4068,3632,4095,4016,3607,9.68,-2.46,0.73,0.07,0.19,te amo
4070,3634,4095,4016,3598,9.76,-2.45,0.88,-0.04,-0.04,te amo
4075,3638,4095,4016,3599,9.96,-2.34,0.52,0.09,0.08,te amo
4090,3638,4095,4015,3622,9.82,-2.46,0.85,0.01,-0.01,te amo
4083,3669,4095,4013,3629,10.09,-2.40,0.60,0.04,-0.02,te amo
4079,3671,4095,4011,3627,9.96,-2.52,0.59,0.03,-0.06,te amo
4083,3668,4095,4010,3617,9.94,-2.49,0.77,0.09,-0.02,te amo
4074,3684,4095,4011,3623,10.05,-2.49,0.83,0.06,0.02,te amo
4070,3682,4095,4013,3634,9.86,-2.65,0.74,0.00,-0.01,te amo
4070,3691,4095,4019,3634,9.95,-2.45,0.68,-0.02,-0.00,te amo
4095,3710,4095,4032,3632,9.92,-2.33,0.62,0.03,0.07,te amo
4082,3712,4095,4032,3646,9.96,-2.46,0.79,0.02,0.01,te amo
4082,3712,4095,4021,3651,9.98,-2.31,0.70,0.03,0.05,te amo
4091,3703,4095,4027,3671,9.87,-2.36,0.73,-0.04,-0.05,te amo

3760,4095,4095,4095,3355,1.41,-0.33,1.06,-0.07,-0.03,te amo
3762,4095,4095,4095,3358,7.86,-1.65,6.04,-0.00,-0.03,te amo
3761,4095,4095,4095,3340,7.87,-1.66,6.06,-0.07,-0.02,te amo
3743,4095,4095,4095,3331,8.08,-2.23,6.30,-0.13,-0.06,te amo
3743,4095,4095,4095,3327,8.12,-2.43,6.20,-0.04,-0.04,te amo
3726,4095,4095,4095,3323,8.04,-2.18,6.13,-0.03,-0.07,te amo
3730,4095,4095,4095,3380,7.99,-1.89,6.14,-0.07,-0.02,te amo
3728,4095,4095,4095,3375,8.04,-1.95,5.93,-0.01,-0.10,te amo
3713,4095,4095,4095,3385,8.10,-2.02,5.58,0.08,-0.02,te amo
3751,4095,4095,4095,3371,8.04,-1.85,5.89,0.05,0.03,te amo
3738,4095,4095,4095,3366,7.99,-1.81,5.82,0.06,0.01,te amo
3747,4095,4095,4095,3358,7.97,-2.15,6.01,-0.03,-0.05,te amo
3735,4095,4095,4095,3344,8.08,-1.81,5.63,0.06,-0.08,te amo
3742,4095,4095,4095,3349,8.13,-1.57,5.69,0.03,-0.04,te amo
3703,4095,4095,4095,3364,8.19,-1.80,5.60,-0.02,-0.05,te amo

3666,4095,4061,4095,3440,1.61,-0.28,0.82,-0.05,-0.09,te amo
3679,4095,4048,4095,3459,9.10,-1.48,4.42,-0.05,-0.06,te amo
3680,4095,4091,4095,3460,9.16,-1.51,4.29,-0.03,-0.03,te amo
3685,4095,4095,4095,3479,9.23,-1.67,4.33,-0.06,-0.04,te amo
3680,4095,4093,4095,3456,9.10,-1.62,4.50,-0.05,-0.00,te amo
3679,4095,4065,4095,3453,9.24,-1.51,4.62,-0.03,-0.07,te amo
3687,4095,4056,4095,3472,9.19,-1.40,4.18,-0.11,0.00,te amo
3670,4095,4044,4095,3479,9.16,-1.43,4.44,-0.12,-0.03,te amo
3680,4095,4057,4095,3457,9.30,-1.72,4.40,-0.05,-0.03,te amo
3682,4095,4095,4095,3473,9.20,-1.55,4.45,-0.05,-0.01,te amo
3670,4095,4095,4095,3471,9.22,-1.36,4.22,-0.07,-0.01,te amo
3670,4095,4091,4095,3456,9.25,-1.20,4.41,-0.09,-0.02,te amo
3659,4095,4094,4095,3462,9.30,-1.66,4.33,-0.09,-0.06,te amo
3658,4095,4095,4095,3461,9.32,-1.92,4.25,-0.14,0.01,te amo
3667,4095,4095,4095,3469,9.23,-1.77,4.39,-0.04,-0.00,te amo

3717,4095,4095,4095,3562,1.59,-0.19,0.90,0.01,-0.04,te amo
3696,4095,4095,4095,3552,8.96,-1.01,4.89,0.03,0.01,te amo
3711,4095,4095,4095,3549,8.89,-0.85,4.91,0.00,0.01,te amo
3703,4095,4095,4095,3559,8.94,-1.03,5.03,-0.06,0.01,te amo
3701,4095,4095,4095,3548,8.79,-0.97,5.15,-0.01,-0.06,te amo
3712,4095,4095,4095,3563,9.04,-1.03,4.73,-0.06,-0.03,te amo
3742,4095,4095,4095,3574,8.87,-1.19,5.08,-0.05,-0.01,te amo
3741,4095,4095,4095,3598,8.94,-0.96,4.84,-0.03,-0.01,te amo
3742,4095,4095,4095,3577,8.87,-1.10,5.00,-0.03,-0.03,te amo
3739,4095,4095,4095,3600,8.91,-0.89,4.99,-0.05,-0.07,te amo
3734,4095,4095,4095,3602,8.97,-1.14,4.71,-0.01,-0.10,te amo
3728,4095,4095,4095,3583,9.41,-1.22,4.54,-0.08,-0.12,te amo
3729,4095,4095,4095,3597,9.16,-1.20,4.65,-0.11,-0.02,te amo
3744,4095,4095,4095,3542,8.90,-0.83,4.59,0.03,-0.00,te amo
3737,4095,4095,4095,3489,9.25,-1.27,4.67,-0.08,0.03,te amo

3730,4095,4095,4095,3553,1.52,-0.24,0.96,0.14,-0.02,te amo
3746,4095,4095,4095,3553,8.72,-1.80,5.43,0.08,-0.05,te amo
3755,4095,4095,4095,3557,8.57,-1.50,5.37,0.09,-0.10,te amo
3735,4095,4095,4095,3531,8.74,-1.38,5.25,0.03,-0.09,te amo
3741,4095,4095,4095,3533,8.65,-1.18,5.13,-0.08,-0.21,te amo
3733,4095,4095,4095,3543,9.03,-0.58,4.24,-0.14,-0.17,te amo
3740,4095,4095,4095,3546,8.90,-1.51,4.53,-0.12,-0.01,te amo
3723,4095,4095,4095,3546,9.01,-1.30,4.58,-0.06,0.04,te amo
3718,4095,4095,4095,3547,8.84,-1.88,5.07,-0.06,0.05,te amo
3713,4095,4095,4095,3536,8.82,-1.45,4.90,-0.03,0.02,te amo
3715,4095,4095,4095,3537,8.82,-1.55,4.99,0.05,-0.01,te amo
3728,4095,4095,4095,3537,8.97,-1.45,4.85,-0.03,-0.03,te amo
3721,4095,4095,4095,3523,8.90,-1.38,4.83,-0.00,0.03,te amo
3714,4095,4095,4095,3492,8.84,-1.56,4.93,-0.01,-0.00,te amo
3719,4095,4095,4095,3507,8.94,-1.61,4.87,0.04,0.01,te amo

3695,4095,3711,4095,2977,1.62,-0.30,0.80,0.02,-0.05,te amo
3690,4095,3703,4095,2989,8.98,-1.85,4.51,0.04,0.01,te amo
3697,4095,3719,4095,2975,9.07,-1.88,4.73,0.04,-0.02,te amo
3687,4095,3721,4095,2982,9.13,-1.94,4.76,-0.08,-0.05,te amo
3658,4095,3671,4095,2977,8.91,-1.61,4.61,-0.15,-0.03,te amo
3679,4095,3674,4095,2982,8.86,-1.89,4.49,-0.17,-0.01,te amo
3697,4095,3706,4095,2971,9.04,-1.96,4.60,-0.05,-0.02,te amo
3681,4095,3702,4095,2957,9.09,-1.88,4.66,0.06,-0.05,te amo
3679,4095,3693,4095,2958,9.00,-1.69,4.40,0.05,-0.01,te amo
3693,4095,3700,4095,2957,9.04,-1.77,4.50,0.05,0.02,te amo
3682,4095,3710,4095,2955,8.99,-1.72,4.67,-0.10,-0.01,te amo
3677,4095,3696,4095,2964,9.09,-1.40,4.36,-0.05,0.00,te amo
3674,4095,3712,4095,3050,8.90,-1.86,4.60,-0.18,-0.00,te amo
3694,4095,3714,4095,3059,9.01,-1.95,4.54,-0.00,-0.02,te amo
3686,4095,3709,4095,3052,8.98,-1.89,4.64,0.03,-0.05,te amo

3679,4095,4095,4095,3021,1.56,-0.27,1.01,-0.02,0.07,te amo
3691,4095,4095,4095,3021,8.65,-1.47,5.11,0.08,-0.03,te amo
3678,4095,4095,4095,2992,8.46,-1.54,4.81,-0.01,0.09,te amo
3713,4095,4095,4095,3035,8.60,-2.02,5.70,-0.02,0.06,te amo
3712,4095,4095,4095,3056,8.31,-2.25,5.40,0.03,0.03,te amo
3702,4095,4095,4095,3031,8.30,-2.59,5.36,-0.02,0.07,te amo
3679,4095,4095,4095,3008,8.19,-2.57,5.80,0.04,0.04,te amo
3690,4095,4095,4095,3021,8.36,-2.28,5.47,0.16,-0.05,te amo
3711,4095,4095,4095,3047,8.28,-2.11,5.44,0.03,0.01,te amo
3701,4095,4095,4095,3028,8.32,-2.37,5.73,0.02,-0.06,te amo
3706,4095,4095,4095,3018,8.26,-2.13,5.35,0.03,-0.09,te amo
3708,4095,4095,4095,3041,8.48,-1.49,5.32,-0.04,-0.06,te amo
3719,4095,4095,4095,3046,8.58,-1.72,5.25,0.10,-0.02,te amo
3711,4095,4095,4095,3037,8.51,-1.69,5.21,-0.09,0.00,te amo
3709,4095,4095,4095,3010,8.40,-1.41,5.34,-0.10,-0.03,te amo

3719,4095,4095,4095,3054,1.49,-0.37,0.99,-0.04,-0.07,te amo
3713,4095,4095,4095,3024,8.26,-1.84,5.52,0.08,-0.05,te amo
3713,4095,4095,4095,3029,8.60,-2.07,5.63,0.07,-0.02,te amo
3714,4095,4095,4095,3021,8.47,-1.91,5.76,0.03,-0.03,te amo
3725,4095,4095,4095,3024,8.61,-1.76,5.42,0.06,-0.03,te amo
3726,4095,4095,4095,3024,8.49,-1.91,5.55,0.10,-0.02,te amo
3723,4095,4095,4095,3037,8.48,-1.91,5.45,0.03,0.02,te amo
3696,4095,4095,4095,3033,8.43,-2.07,5.68,-0.02,-0.01,te amo
3700,4095,4095,4095,3027,8.58,-1.97,5.59,-0.06,-0.05,te amo
3705,4095,4095,4095,3029,8.48,-1.81,5.43,-0.01,-0.03,te amo
3703,4095,4095,4095,3019,8.61,-1.61,5.37,0.00,-0.00,te amo
3715,4095,4095,4095,3031,8.47,-1.62,5.32,0.04,0.00,te amo
3718,4095,4095,4095,3024,8.52,-1.69,5.63,0.00,0.02,te amo
3712,4095,4095,4095,3033,8.55,-1.80,5.38,0.05,-0.05,te amo
3713,4095,4095,4095,3034,8.50,-1.67,5.31,-0.03,-0.02,te amo

3682,4095,3795,3522,2966,1.59,-0.36,0.73,0.01,-0.08,te amo
3690,4095,3802,3523,2959,9.06,-2.23,4.39,0.02,-0.02,te amo
3680,4095,3803,3519,2941,8.92,-1.91,4.55,0.01,-0.04,te amo
3722,4095,3798,3520,2943,8.95,-1.98,4.15,-0.02,-0.09,te amo
3743,4095,3710,3519,2942,9.00,-1.64,4.19,-0.17,-0.05,te amo
3729,4095,3697,3514,2945,9.11,-1.95,4.08,-0.05,-0.03,te amo
3722,4095,3714,3535,2956,9.10,-2.01,4.15,-0.01,0.02,te amo
3713,4095,3709,3525,2960,9.06,-2.10,4.28,0.10,-0.03,te amo
3727,4095,3696,3525,2959,9.16,-2.09,4.14,0.07,-0.04,te amo
3729,4095,3707,3536,2965,9.17,-2.05,4.18,0.12,-0.01,te amo
3728,4095,3698,3531,2961,9.13,-2.19,4.33,-0.03,0.02,te amo
3777,4095,3703,3874,2983,9.21,-2.45,4.41,0.07,-0.04,te amo
3767,4095,3698,4095,2997,9.24,-2.28,4.35,-0.09,-0.05,te amo
3762,4095,3696,4095,2974,9.25,-2.34,4.32,-0.08,-0.05,te amo
3763,4095,3687,4095,2967,9.18,-2.18,4.33,-0.10,-0.00,te amo

